qid10,qid20,qid30,qid40,qid50,qid60,qid70,qid80,qid90,qid100,qid110,score0,score1,score2,score3,score4,score5,score6
4,5,4,4,4,5,4,2,3,4,4,65,36,28,65,40,25,90
5,3,4,3,5,5,4,5,3,5,2,45,64,64,56.5,60,25,20
4,3,4,4,3,4,4,5,4,3,3,68,28,0,38.5,0,41.67,50
5,4,3,4,4,5,4,5,4,5,3,50,90,54,34.5,40,16.67,40
5,3,4,2,4,4,4,3,3,5,3,55,46,46,52,0,25,40
4,4,4,4,5,4,4,5,5,5,2,52,54,46,51.5,0,41.67,60
5,5,4,5,5,5,4,5,4,5,2,58,54,18,25.5,40,8.33,40
4,3,4,5,3,4,5,3,5,5,3,60,28,28,34,0,25,40
5,3,2,2,2,4,4,5,3,5,2,55,28,18,43.5,0,16.67,0
5,3,4,2,4,4,4,5,3,5,2,70,46,18,60.5,0,25,40
4,4,4,4,4,5,4,5,3,3,2,57,36,46,61,40,25,70
5,5,4,4,4,4,4,5,4,3,2,93,18,18,13,0,8.33,80
4,5,4,2,4,4,4,2,4,4,3,88,0,0,25.5,0,8.33,70
5,5,4,3,4,4,5,5,4,5,3,78,18,36,13,20,25,60
5,5,4,2,4,4,4,5,4,3,2,88,18,18,25.5,0,25,60
5,3,4,4,5,4,5,3,3,5,3,50,46,46,56.5,0,41.67,40
4,5,4,4,4,4,4,2,5,4,3,95,0,0,21.5,0,8.33,100
3,5,4,5,5,4,4,3,4,5,3,78,18,0,17,20,25,40
5,5,4,4,4,5,4,2,4,3,3,93,18,18,13,40,8.33,80
4,5,4,4,4,4,4,2,4,4,3,73,18,28,38.5,0,41.67,90
5,5,4,2,2,4,4,5,4,3,2,78,36,18,34,0,8.33,40
5,4,4,4,5,4,5,3,4,5,3,55,54,36,34.5,0,41.67,40
5,3,4,3,5,4,4,3,3,5,3,60,46,36,48,20,25,20
5,3,5,4,4,5,4,5,3,3,3,50,64,46,56.5,60,41.67,40
4,5,4,4,4,4,4,2,4,5,3,83,18,0,30,0,8.33,90
4,3,4,5,5,4,4,2,4,5,3,63,28,28,34,0,8.33,30
5,3,4,3,4,4,4,5,4,3,2,68,46,36,38.5,20,41.67,40
3,5,4,4,4,4,4,5,5,4,2,85,0,0,13,20,25,90
4,3,4,3,2,4,5,5,4,3,3,78,10,18,38.5,20,25,30
4,5,4,4,4,4,4,5,4,4,3,93,0,0,21.5,0,8.33,90
4,3,4,3,4,4,4,5,4,3,3,68,46,18,47,20,25,50
5,5,4,4,2,5,4,3,4,4,3,63,36,18,30,40,25,60
5,5,4,3,4,4,4,5,4,3,2,83,36,36,21.5,20,25,60
4,3,2,2,2,4,4,5,4,3,2,48,28,28,51,0,16.67,10
5,3,4,4,4,5,4,2,4,3,3,73,46,18,30,40,8.33,60
4,5,4,4,4,4,4,3,4,5,2,78,18,0,38.5,0,25,90
4,3,4,3,4,4,4,5,4,3,2,78,28,18,38.5,20,25,50
3,5,4,4,5,5,4,5,5,3,3,70,18,28,21.5,60,41.67,70
5,3,4,4,3,4,4,2,4,3,3,78,46,46,30,0,25,40
5,5,5,2,2,4,4,2,4,3,3,73,36,18,25.5,20,8.33,20
5,3,4,4,4,5,4,5,3,5,3,65,64,46,56.5,40,8.33,60
5,5,4,3,5,5,4,2,4,5,3,53,54,36,38.5,60,41.67,40
4,4,5,5,3,4,4,5,3,3,3,57,36,46,48,20,41.67,10
4,5,4,4,4,4,4,5,4,5,2,73,18,0,38.5,0,41.67,90
4,5,3,4,3,4,4,5,4,4,3,63,54,18,30,0,16.67,50
4,3,4,4,5,4,4,2,4,4,3,83,28,0,38.5,0,8.33,50
5,3,4,4,4,4,4,5,4,5,2,63,64,46,47,0,25,60
4,3,4,4,5,4,4,3,5,5,3,55,28,28,47,0,41.67,60
5,4,4,4,4,4,4,5,4,4,3,75,54,64,26,0,8.33,60
5,5,4,3,4,4,4,5,4,5,3,83,18,36,13,20,25,60
3,3,4,4,3,4,4,5,5,3,2,75,10,0,30,20,58.34,50
5,4,4,2,3,4,4,2,5,3,3,67,54,36,30,0,25,30
5,4,4,4,4,4,4,5,3,5,3,62,54,64,44,0,8.33,60
4,3,4,4,4,4,4,5,4,4,3,58,46,28,55.5,0,25,70
5,3,4,4,4,4,5,2,4,3,3,73,46,46,30,0,8.33,60
4,5,4,4,4,4,4,5,4,4,3,78,36,28,38.5,0,8.33,90
4,5,4,4,4,4,5,2,4,5,3,63,0,28,30,0,41.67,90
5,5,4,4,4,4,5,2,5,4,3,85,18,18,21.5,0,41.67,90
5,3,4,4,4,4,4,3,4,4,3,73,64,46,38.5,0,8.33,60
5,3,4,4,5,4,4,3,3,5,3,70,28,18,39.5,0,8.33,40
5,5,4,4,4,4,4,2,5,4,2,90,36,18,21.5,0,8.33,90
4,5,4,4,4,4,4,3,4,4,2,88,0,0,21.5,0,8.33,90
5,5,4,4,4,4,4,3,4,3,3,98,18,18,13,0,8.33,80
5,3,4,4,4,4,4,2,3,5,4,65,46,46,48,0,8.33,60
5,3,4,4,4,5,4,5,3,5,2,55,64,18,65,40,25,60
4,4,4,4,3,5,4,2,4,4,3,65,36,18,34.5,40,25,50
4,5,4,5,4,4,4,5,3,5,3,70,18,28,43.5,0,8.33,70
5,5,4,4,4,4,4,2,4,4,3,88,36,18,21.5,0,8.33,80
4,5,4,4,3,4,4,2,5,4,3,75,18,28,30,0,25,80
4,3,4,4,4,4,4,5,5,4,3,80,28,28,38.5,0,8.33,80
3,5,4,4,5,4,4,2,3,3,4,75,18,0,39.5,20,25,60
4,3,4,4,4,5,4,5,5,4,3,65,28,28,38.5,40,25,80
5,4,4,3,4,4,4,5,4,3,2,80,36,54,17.5,20,25,40
4,3,2,3,5,4,4,5,5,5,2,55,46,46,47,20,33.34,20
5,3,4,4,4,4,4,5,4,5,3,63,64,46,47,0,25,60
4,3,4,4,4,4,4,5,4,3,2,78,28,28,38.5,0,8.33,70
5,5,4,4,4,4,4,5,4,3,3,98,18,18,13,0,8.33,80
4,5,4,3,4,5,4,5,3,5,3,45,36,46,65,60,41.67,70
4,5,3,4,4,4,4,3,4,5,4,68,36,18,30,0,16.67,70
4,5,4,4,4,4,4,3,4,3,3,73,18,28,30,0,8.33,90
5,5,4,3,5,4,4,3,3,3,2,80,18,36,31,20,25,40
4,4,4,4,4,4,5,4,4,4,2,60,36,46,43,0,41.67,70
